Invoice_ID,Customer_Name,Invoice_Amount,Amount_Paid,Outstanding_Amount,Days_Delayed,SLA_Penalty,Invoice_Status,outstanding,leakage,risk_level
36,Customer_1,55210,46612,8598,20,3951,Pending,8598,12549,Medium
37,Customer_17,150471,69619,80852,20,6027,Pending,80852,86879,Medium
38,Customer_5,69046,28861,40185,5,5086,Pending,40185,45271,Low
39,Customer_11,182502,105143,77359,10,11899,Pending,77359,89258,Low
40,Customer_6,111270,37038,74232,20,5129,Pending,74232,79361,Medium
41,Customer_9,137183,52401,84782,60,7656,Pending,84782,92438,High
42,Customer_6,171623,102098,69525,10,13488,Pending,69525,83013,Low
43,Customer_4,124229,29620,94609,5,14848,Pending,94609,109457,Low
44,Customer_2,65905,10118,55787,60,13703,Pending,55787,69490,High
45,Customer_9,148424,20614,127810,10,4994,Pending,127810,132804,Low
46,Customer_14,114587,85463,29124,10,4234,Pending,29124,33358,Low
47,Customer_6,36985,21724,15261,0,0,Pending,15261,15261,Low
48,Customer_1,65212,32478,32734,0,0,Pending,32734,32734,Low
49,Customer_6,32491,29891,2600,10,12345,Pending,2600,14945,Low
50,Customer_2,171543,72772,98771,5,5369,Pending,98771,104140,Low
51,Customer_12,125573,28282,97291,20,6281,Pending,97291,103572,Medium
52,Customer_19,195748,139921,55827,0,0,Pending,55827,55827,Low
53,Customer_9,122608,84342,38266,5,4485,Pending,38266,42751,Low
54,Customer_18,90804,3743,87061,0,0,Pending,87061,87061,Low
55,Customer_13,81724,47510,34214,60,10534,Pending,34214,44748,High
56,Customer_11,48390,259,48131,15,10856,Pending,48131,58987,Low
57,Customer_14,136779,28294,108485,0,0,Pending,108485,108485,Low
58,Customer_9,58411,27070,31341,5,9539,Pending,31341,40880,Low
59,Customer_2,104872,94064,10808,15,11646,Pending,10808,22454,Low
60,Customer_7,196038,36460,159578,60,9015,Pending,159578,168593,High
61,Customer_15,195771,44631,151140,60,12288,Pending,151140,163428,High
62,Customer_14,191821,98759,93062,0,0,Pending,93062,93062,Low
63,Customer_12,94314,53995,40319,15,2719,Pending,40319,43038,Low
64,Customer_16,98932,49516,49416,10,11258,Pending,49416,60674,Low
65,Customer_10,137300,13248,124052,15,2256,Pending,124052,126308,Low
66,Customer_19,56490,49872,6618,60,8561,Pending,6618,15179,High
67,Customer_19,51580,14657,36923,60,2765,Pending,36923,39688,High
68,Customer_2,154602,38162,116440,60,12694,Pending,116440,129134,High
69,Customer_17,122205,76621,45584,45,6279,Pending,45584,51863,High
70,Customer_9,81194,2983,78211,5,12022,Pending,78211,90233,Low
71,Customer_9,36260,12798,23462,45,6941,Pending,23462,30403,High
72,Customer_16,51709,15322,36387,60,13688,Pending,36387,50075,High
73,Customer_7,88746,8852,79894,10,4677,Pending,79894,84571,Low
74,Customer_16,78055,51711,26344,60,8301,Pending,26344,34645,High
75,Customer_17,163410,27275,136135,20,3027,Pending,136135,139162,Medium
76,Customer_6,146137,134198,11939,10,10698,Pending,11939,22637,Low
77,Customer_5,74799,23830,50969,5,12668,Pending,50969,63637,Low
78,Customer_3,96698,9487,87211,5,12494,Pending,87211,99705,Low
79,Customer_7,161684,94048,67636,15,4304,Pending,67636,71940,Low
80,Customer_19,120452,49607,70845,15,3393,Pending,70845,74238,Low
81,Customer_20,152096,32942,119154,20,12473,Pending,119154,131627,Medium
82,Customer_7,183861,58677,125184,15,12066,Pending,125184,137250,Low
83,Customer_3,114507,108848,5659,60,9390,Pending,5659,15049,High
84,Customer_19,35770,25165,10605,60,6836,Pending,10605,17441,High
85,Customer_11,47512,22233,25279,45,8482,Pending,25279,33761,High
86,Customer_16,146734,8636,138098,10,14636,Pending,138098,152734,Low
87,Customer_16,168703,110299,58404,60,9585,Pending,58404,67989,High
88,Customer_19,85689,49628,36061,45,12791,Pending,36061,48852,High
89,Customer_9,159487,56476,103011,10,3017,Pending,103011,106028,Low
90,Customer_19,139648,129185,10463,30,13395,Pending,10463,23858,Medium
91,Customer_19,38508,15391,23117,60,2675,Pending,23117,25792,High
92,Customer_17,47344,5789,41555,20,5312,Pending,41555,46867,Medium
93,Customer_12,56738,4527,52211,15,5019,Pending,52211,57230,Low
94,Customer_17,199558,185227,14331,10,13209,Pending,14331,27540,Low
95,Customer_3,137940,78917,59023,0,0,Pending,59023,59023,Low
96,Customer_16,189361,156180,33181,10,7968,Pending,33181,41149,Low
97,Customer_18,173380,125664,47716,10,4875,Pending,47716,52591,Low
98,Customer_18,152194,78125,74069,5,11485,Pending,74069,85554,Low
99,Customer_20,141908,72003,69905,60,3549,Pending,69905,73454,High
100,Customer_6,198049,197837,212,60,7461,Pending,212,7673,High
